icao,type,description,frequency_mhz
KAMW,UNIC,CTAF/UNICOM,122.7
KANB,A/D,BIRMINGHAM APP/DEP,125.45
KANB,ASOS,ASOS,119.675
KANB,CTAF,CTAF,123.6
KANB,RDO,RDO,122.2
KANB,UNIC,UNICOM,123
KAND,A/D,GREER APP/DEP,118.8
KAND,ASOS,ASOS,120.675
KAND,CTAF,CTAF,123.6
KAND,RDO,RDO,122.2
KAND,UNIC,UNICOM,122.95
KANE,A/D,MINNEAPOLIS APP/DEP,126.5
KANE,ATIS,ATIS,120.625
KANE,AWOS,AWOS 3,120.625
KANE,CLD,CLNC DEL,121.3
KANE,CTAF,CTAF,126.05
KANE,GND,GND,121.85
KANE,RDO,PRINCETON RDO,122.55
KANE,TWR,TWR,126.05
KANE,UNIC,UNICOM,122.95
KANJ,ASOS,ASOS,118.375
KANJ,CNTR,TORONTO CNTR,132.65
KANJ,UNIC,CTAF/UNICOM,122.7
KANK,AWOS,AWOS 3,133.85
KANK,UNIC,CTAF/UNICOM,122.7
KANP,A/D,POTOMAC APP/DEP,119.7
KANP,CTAF,CTAF,122.9
KANQ,A/D,FORT WAYNE APP/DEP,132.15
KANQ,FSS,LITCHFIELD RDO,122.1
KANQ,UNIC,CTAF/UNICOM,123.075
KANW,AWOS,AWOS 3,118.325
KANW,CNTR,DENVER CNTR,132.7
KANW,RDO,COLUMBUS RDO,122.4
KANW,UNIC,CTAF/UNICOM,122.8
KANY,CNTR,KANSAS CITY CNTR,118.35
KANY,RDO,WICHITA RDO,112.9
KANY,UNIC,CTAF/UNICOM,122.8
KAOC,CNTR,SALT LAKE CITY CNTR,128.35
KAOC,UNIC,CTAF/UNICOM,122.8
KAOH,ASOS,ASOS,108.4
KAOH,CNTR,INDIANAPOLIS CNTR,128.075
KAOH,RDO,DAYTON RDO,108.4
KAOH,UNIC,CTAF/UNICOM,122.7
KAOO,ASOS,ASOS,127.125
KAOO,CNTR,CLEVELAND CNTR,121.2
KAOO,CTAF,CTAF,123.6
KAOO,RDO,RDO,122.1
KAOO,RDO,RDO,122.2
KAOO,UNIC,UNICOM,123
KAOV,A/D,SPRINGFIELD,126.35
KAOV,CTAF,CTAF,122.9
KAPA,A/D,DENVER APP/DEP,132.75
KAPA,ATIS,ATIS,120.3
KAPA,CLD,CLNC DEL,128.6
KAPA,GND,GND,121.8
KAPA,RDO,DENVER RDO,122.2
KAPA,TWR,TWR,118.9
KAPA,UNIC,UNICOM,122.95
KAPC,A/D,NORCAL APP/DEP,127.8
KAPC,ATIS,ATIS,124.05
KAPC,CTAF,CTAF,118.7
KAPC,GND,GND,121.7
KAPC,TWR,TWR,118.7
KAPC,UNIC,UNICOM,122.95
KAPF,A/D,FORT MYERS APP/DEP,119.75
KAPF,ATIS,ATIS,134.225
KAPF,CLD,CLNC DEL,118
KAPF,CTAF,CTAF,128.5
KAPF,GND,GND,121.6
KAPF,RDO,MIAMI RDO,123.6
KAPF,TWR,TWR,128.5
KAPG,A/D,POTOMAC APP/DEP,126.75
KAPG,ATIS,ATIS,108.4
KAPG,GND,GND,121.9
KAPG,TWR,TWR,126.15
KAPH,A/D,POTOMAC APP/DEP,134.7
KAPH,MISC,RANGE CON,38.5
KAPH,RDO,LEESBURG RDO,38.5
KAPN,A/D,APP/DEP,128.425
KAPN,ASOS,ASOS,120.675
KAPN,CTAF,CTAF,121.35
KAPN,GND,GND,121.9
KAPN,PTD,PTD,37.22
KAPN,RDO,LANSING RDO,108.8
KAPN,TWR,TWR,121.35
KAPN,UNIC,UNICOM,122.95
KAPT,A/D,CHATTANOOGA APP/DEP,119.2
KAPT,UNIC,CTAF/UNICOM,122.8
KAPV,A/D,JOSHUA APP/DEP,124.55
KAPV,RDO,RIVERSIDE RDO,122.3
KAPV,UNIC,CTAF/UNICOM,122.8
KAPY,UNIC,CTAF/UNICOM,122.7
KAQO,AWOS,AWOS 3,119.425
KAQO,CNTR,HOUSTON CNTR,132.35
KAQO,UNIC,CTAF/UNICOM,122.8
KAQP,AWOS,AWOS 3,35.6
KAQP,CTAF,CTAF,122.9
KAQP,FSS,PRINCETON RDO,122.45
KAQR,AWOS,AWOS 3,121.125
KAQR,CTAF,CTAF,122.9
KAQW,ASOS,ASOS,134.775
KAQW,UNIC,CTAF/UNICOM,122.8
KAQX,CNTR,JACKSONVILLE CNTR,132.5
KAQX,RDO,ANDERSON RDO,116.7
KAQX,UNIC,CTAF/UNICOM,122.8
KARA,A/D,LAFAYETTE APP/DEP,121.1
KARA,CLD,CLNC DEL,121.7
KARA,CTAF,CTAF,125
KARA,GND,GND,121.7
KARA,TWR,TWR,125
KARA,UNIC,UNICOM,122.95
KARB,A/D,DETROIT APP/DEP,118.95
KARB,ASOS,ASOS,134.55
KARB,ATIS,ATIS,134.55
KARB,CTAF,CTAF,120.3
KARB,GCCD,GND/CLNC DEL,121.6
KARB,TWR,TWR,120.3
KARB,UNIC,UNICOM,123
KARG,AWOS,AWOS 3,135.925
KARG,CNTR,MEMPHIS CNTR,120.075
KARG,RDO,JONESBORO RDO,114.5
KARG,UNIC,CTAF/UNICOM,122.8
KARM,AWOS,AWOS  3,118.475
KARM,CNTR,HOUSTON CNTR,128.6
KARM,UNIC,CTAF/UNICOM,122.7
KARR,A/D,APP/DEP,133.5
KARR,ASOS,ASOS,125.85
KARR,ATIS,ATIS,125.85
KARR,CLD,CLNC DEL,121.7
KARR,CTAF,CTAF,120.6
KARR,GND,GND,121.7
KARR,RDO,KANKAKEE RDO,122.5
KARR,TWR,TWR,120.6
KARR,UNIC,UNICOM,122.95
KART,A/D,WHEELER SACK APP/DEP,128.25
KART,ASOS,ASOS,133.525
KART,RDO,BURLINGTON RDO,122.2
KART,UNIC,CTAF/UNICOM,123
KARV,AWOS,AWOS 3,121.125
KARV,CNTR,MINNEAPOLIS CNTR,133.65
KARV,RDO,GREEN BAY RDO,122.6
KARV,UNIC,CTAF/UNICOM,122.7
KARW,A/D,APP/DEP,118.45
KARW,UNIC,CTAF/UNICOM,122.7
KASD,A/D,NEW ORLEANS APP/DEP,133.15
KASD,ASOS,ASOS,132.475
KASD,GCO,GCO,135.075
KASD,UNIC,CTAF/UNICOM,122.8
KASE,ATIS,ATIS,120.4
KASE,CLD,CLNC DEL,123.75
KASE,CNTR,APP/DEP,123.8
KASE,CTAF,CTAF,118.85
KASE,GND,GND,121.9
KASE,TWR,TWR,118.85
KASE,UNIC,UNICOM,122.95
KASG,A/D,RAZORBACK APP/DEP,128.15
KASG,AWOS,AWOS 3,124.675
KASG,CTAF,CTAF,118.2
KASG,GND,GND,121.6
KASG,TWR,TWR,118.2
KASG,UNIC,UNICOM,122.95
KASH,A/D,BOSTON APP/DEP,124.9
KASH,ASOS,ASOS,125.1
KASH,ATIS,ATIS,125.1
KASH,CTAF,CTAF,133.2
KASH,GND,GND/CLNC DEL,121.8
KASH,TWR,NASHUA TWR,133.2
KASJ,AWOS,AWOS 3,119.075
KASJ,CNTR,WASHINGTON CNTR,123.85
KASJ,UNIC,CTAF/UNICOM,122.8
KASL,A/D,SHREVEPORT APP/DEP,119.9
KASL,AWOS,AWOS 3,118.675
KASL,UNIC,CTAF/UNICOM,122.8
KASN,A/D,BIRMINGHAM APP/DEP,125.45
KASN,AWOS,AWOS 3,118.425
KASN,RDO,ANNISTON RDO,108.8
KASN,UNIC,CTAF/UNICOM,122.8
KAST,ASOS,ASOS,135.375
KAST,CNTR,SEATTLE CNTR,124.2
KAST,MISC,AIR CG,38.18
KAST,RDO,MC MINNVILLE RDO,122.3
KAST,UNIC,CTAF/UNICOM,122.8
KASW,A/D,FORT WAYNE APP/DEP,127.2
KASW,AWOS,AWOS 3,121.125
KASW,CLD,CLNC DEL,134.05
KASW,RDO,TERRE HAUTE RDO,113.7
KASW,UNIC,CTAF/UNICOM,122.7
KASX,A/D,MINNEAPOLIS APP/DEP,126.45
KASX,ASOS,ASOS,126.775
KASX,RCO,GREEN BAY RDO,122.25
KASX,UNIC,CTAF/UNICOM,122.8
KASY,CTAF,CTAF,122.9
KATA,CNTR,FORT WORTH CNTR,123.925
KATA,CTAF,CTAF,122.9
KATL,APP,ATLANTA APP (090°-269°),127.9
KATL,APP,ATLANTA APPROACH,128
KATL,ATIS,ATIS,119.65
KATL,CLD,CLNC DEL,118.1
KATL,DEP,ATLANTA DEP (RWAY 10-28),121.225
KATL,DEP,ATLANTA DEP (RWAY 09-27),125.65
KATL,DEP,ATLANTA DEP (RWY 08-26),133.475
KATL,GND,GND,121.65
KATL,RDO,MACON RDO,116.9
KATL,SFA,SFA,30.697
KATL,TWR,ATLANTA TWR,119.1
KATL,UNIC,UNICOM,122.95
KATS,A/D,ROSWELL APP/DEP,119.6
KATS,AWOS,AWOS 3,126.725
KATS,UNIC,CTAF/UNICOM,122.8
KATW,A/D,GREEN BAY APP/DEP,126.3
KATW,ATIS,ATIS,127.15
KATW,CTAF,CTAF,119.6
KATW,GND,APPLETON GND,121.7
KATW,TWR,APPLETON TWR,119.6
KATW,UNIC,UNICOM,122.95
KATY,ASOS,ASOS,126.625
KATY,CNTR,MINNEAPOLIS CNTR,128.5
KATY,RDO,HURON RDO,122.5
KATY,UNIC,CTAF/UNICOM,123.05
KAUG,A/D,PORTLAND APP/DEP,128.35
KAUG,ASOS,ASOS,118.325
KAUG,CLD,CLNC DEL,119.95
KAUG,RDO,BANGOR RDO,122.6
KAUG,UNIC,CTAF/UNICOM,123
KAUH,AWOS,AWOS 3,121.225
KAUH,CNTR,MINNEAPOLIS CNTR,119.4
KAUH,UNIC,CTAF/UNICOM,122.8
KAUM,A/D,ROCHESTER APP/DEP,119.8
KAUM,AWOS,AWOS 3,119.025
KAUM,RDO,PRINCETON RDO,122.5
KAUM,UNIC,CTAF/UNICOM,122.7
KAUN,A/D,NORCAL APP/DEP,125.4
KAUN,AWOS,AWOS 3,119.375
KAUN,UNIC,CTAF/UNICOM,122.7
KAUO,A/D,ATLANTA APP/DEP,125.5
KAUO,AWOS,AWOS 3,132.575
KAUO,CLD,ATLANTA CLNC DEL,118.7
KAUO,UNIC,CTAF/UNICOM,123
KAUS,A/D,APP/DEP,118.8
KAUS,ASOS,ASOS,128.875
KAUS,ATIS,ATIS,124.4
KAUS,CLD,CLNC DEL,125.5
KAUS,GND,GND,121.7
KAUS,OPS,ARNG OPS,36.8
KAUS,RDO,SAN ANGELO RDO,122.55
KAUS,TWR,TWR,121
KAUS,UNIC,UNICOM,122.95
KAUW,ASOS,ASOS,125.925
KAUW,CNTR,MINNEAPOLIS CNTR,124.4
KAUW,RDO,GREEN BAY RDO,122.4
KAUW,UNIC,CTAF/UNICOM,122.7
KAVC,AWOS,AWOS 3,127.525
KAVC,CNTR,WASHINGTON CNTR,118.75
KAVC,UNIC,CTAF/UNICOM,122.8
KAVK,A/D,VANCE APP/DEP,119.775
KAVK,AWOS,AWOS 3,121.125
KAVK,UNIC,CTAF/UNICOM,122.8
KAVL,A/D,APP/DEP,124.65
KAVL,ATIS,ATIS,120.2
KAVL,CTAF,CTAF,121.1
KAVL,GND,GND,121.9
KAVL,TWR,TWR,121.1
KAVL,UNIC,UNICOM,122.95
KAVO,CNTR,MIAMI CNTR,134.55
KAVO,UNIC,CTAF/UNICOM,122.8
KAVP,A/D,APP/DEP,124.5
KAVP,ATIS,ATIS,111.6
KAVP,GND,GND,121.9
KAVP,RDO,WILLIAMSPORT RDO,122.2
KAVP,TWR,TWR,120.1
KAVP,UNIC,UNICOM,122.95
KAVQ,A/D,TUCSON APP/DEP,119.4
KAVQ,AWOS,AWOS 3,118.375
KAVQ,UNIC,CTAF/UNICOM,123
KAVX,A/D,SOCAL APP/DEP,127.4
KAVX,UNIC,CTAF/UNICOM,122.7
KAVX,WX ASOS,Weather ASOS,120.675
KAWG,AWOS,AWOS 3,127.825
KAWG,CNTR,CHICAGO CNTR,135.6
KAWG,FSS,FORT DODGE RDO,121.725
KAWG,UNIC,CTAF/UNICOM,122.7
KAWM,APP,MEMPHIS APP,119.1
KAWM,ASOS,ASOS,118.175
KAWM,CLD,MEMPHIS CLNC DEL,121.7
KAWM,DEP,MEMPHIS DEP,124.65
KAWM,UNIC,CTAF/UNICOM,123.05
KAWO,AWOS,AWOS 3,135.625
KAWO,CNTR,SEATTLE CNTR,128.5
KAWO,UNIC,CTAF/UNICOM,122.7
KAXA,AWOS,AWOS 3,118.475
KAXA,CNTR,MINNEAPOLIS CNTR,134
KAXA,UNIC,CTAF/UNICOM,122.8
KAXH,A/D,HOUSTON APP/DEP,123.8
KAXH,CLD,CLNC DEL,120.8
KAXH,UNIC,CTAF/UNICOM,123
KAXN,ASOS,ASOS,118.375
KAXN,CNTR,MINNEAPOLIS CNTR,126.1
KAXN,RDO,PRINCETON RDO,122.6
KAXN,UNIC,CTAF/UNICOM,123
KAXQ,AWOS,AWOS 3,118.275
KAXQ,CNTR,CLEVELAND CNTR APP,126.72
KAXQ,UNIC,UNICOM,122.8
KAXS,A/D,APP/DEP,125.1
KAXS,AWOS,AWOS 3,118.825
KAXS,UNIC,CTAF/UNICOM,122.8
KAXV,A/D,DAYTON APP/DEP,134.45
KAXV,AWOS,AWOS 3,128.325
KAXV,RDO,DAYTON RDO,117.5
KAXV,UNIC,CTAF/UNICOM,122.8
KAXX,A/D,ALBUQUERQUE CNTR,132.8
KAXX,AWOS,AWOS 3,118.025
KAXX,UNIC,CTAF/UNICOM,122.8
KAYS,AWOS,AWOS 3,118.575
KAYS,CNTR,JACKSONVILLE CNTR,132.3
KAYS,RDO,MACON RDO,110.2
KAYS,UNIC,CTAF/UNICOM,122.8
KAYX,AWOS,AWOS 3,128.325
KAYX,CNTR,MEMPHIS CNTR,126.75
KAYX,PTD,PTD,126.2
KAZC,AWOS,AWOS 3,118.375
KAZC,CNTR,LOS ANGELES CNTR,124.2
KAZC,UNIC,CTAF/UNICOM,122.7
KAZE,CNTR,JACKSONVILLE CNTR,132.3
KAZE,UNIC,CTAF/UNICOM,122.8
KAZO,A/D,APP/DEP,119.2
KAZO,ATIS,ATIS,127.25
KAZO,CLD,CLNC DEL,121.75
KAZO,CTAF,CTAF,118.3
KAZO,GND,GND,121.9
KAZO,RDO,LANSING RDO,109
KAZO,TWR,TWR,118.3
KAZO,UNIC,UNICOM,122.95
KBAB,ACP,940TH COMD POST,25.602
KBAB,APP,NORCAL APP,125.4
KBAB,ATIS,ATIS,27.35
KBAB,DEP,NORCAL DEP,125.4
KBAB,GND,GND,121.6
KBAB,MISC,SUPERVISOR OF FLYING,138.5
KBAB,PMSV,PMSV METRO,23.98
KBAB,POST,WING COMD POST,32.1
KBAB,PTD,PTD,140.875
KBAB,TWR,TWR,119.4
KBAD,A/D,SHREVEPORT APP/DEP,119.9
KBAD,ATIS,ATIS,37.58
KBAD,GND,GND,121.8
KBAD,PMSV,PMSV METRO,37.362
KBAD,POST,COMD POST,31.1
KBAD,PTD,PTD,37.22
KBAD,TWR,TWR,128.25
KBAF,A/D,BRADLEY APP/DEP,125.35
KBAF,ATIS,ATIS,127.1
KBAF,CLD,BRADLEY CLNC DEL,121.7
KBAF,CTAF,WESTFIELD TRFC,125.075
KBAF,GND,WESTFIELD GND,121.7
KBAF,MISC,ARNG OPS,46.75
KBAF,OPS,ANG OPS CNTR,30.3
KBAF,RDO,BURLINGTON RDO,113
KBAF,TWR,WESTFIELD TWR,125.075
KBAK,A/D,INDIANAPOLIS APP/DEP,134.85
KBAK,AWOS,AWOS 3,119.75
KBAK,CLD,CLNC DEL,121.6
KBAK,CTAF,CTAF,118.6
KBAK,GND,GND,121.6
KBAK,RDO,TERRE HAUTE RDO,112
KBAK,TWR,TWR,118.6
KBAK,UNIC,UNICOM,122.95
KBAM,AWOS,AWOS THREE,119.45
KBAM,CNTR,SALT LAKE CNTR,132.25
KBAM,RDO,RENO RDO,122.6
KBAM,UNIC,CTAF/UNICOM,122.8
KBAX,AWOS,AWOS 3,108.2
KBAX,CNTR,CLEVELAND CNTR,127.7
KBAX,FSS,LANSING RDO,122.65
KBAX,UNIC,CTAF/UNICOM,122.8
KBAZ,APP,SAN ANTONIO APP,124.45
KBAZ,ASOS,ASOS,119.325
KBAZ,CLD,CLNC DEL,134.75
KBAZ,DEP,SAN ANTONIO DEP,125.7
KBAZ,UNIC,CTAF/UNICOM,122.7
KBBB,AWOS,AWOS 3,23.9
KBBB,CNTR,MINNEAPOLIS CNTR,125.5
KBBB,UNIC,CTAF/UNICOM,122.8
KBBD,AWOS,AWOS 3,118.375
KBBD,CNTR,HOUSTON CNTR,132.35
KBBD,UNIC,CTAF/UNICOM,122.8
KBBP,A/D,FLORENCE APP/DEP,118.6
KBBP,AWOS,AWOS 3,123.825
KBBP,UNIC,CTAF/UNICOM,122.8
KBBW,ASOS,ASOS,120
KBBW,CNTR,DENVER CNTR,132.7
KBBW,UNIC,CTAF/UNICOM,122.8
KBCB,A/D,ROANOKE APP/DEP,126.9
KBCB,AWOS,AWOS 3,133.325
KBCB,CLD,ROANOKE CLNC DEL,124.85
KBCB,UNIC,CTAF/UNICOM,123.05
KBCE,ASOS,ASOS,135.475
KBCE,FSS,CEDAR CITY RDO,122.2
KBCE,UNIC,CTAF/UNICOM,122.8
KBCK,CNTR,MINNEAPOLIS CNTR,128.6
KBCK,CTAF,CTAF,122.9
KBCK,RDO,GREEN BAY RDO,122.5
KBCT,APP,PALM BEACH APP,125.2
KBCT,AWOS,AWOS 3,121.125
KBCT,CLD,CLNC DEL,121.8
KBCT,CTAF,CTAF,118.425
KBCT,DEP,PALM BEACH DEP,127.35
KBCT,GND,GND,121.8
KBCT,TWR,TWR,118.425
KBDE,ASOS,ASOS,126.775
KBDE,RDO,PRINCETON RDO,122.4
KBDE,UNIC,CTAF/UNICOM,122.8
KBDG,AWOS,AWOS 3,127.75
KBDG,CNTR,DENVER CNTR,127.55
KBDG,UNIC,CTAF/UNICOM,122.8
KBDL,APP,APP,32.58
KBDL,APP,APP,123.95
KBDL,ATIS,ATIS,118.15
KBDL,CLD,CLNC DEL,121.75
KBDL,DEP,DEP,35.9
KBDL,DEP,DEP,123.95
KBDL,GND,GND,121.9
KBDL,MISC,ARNG OPS,41.9
KBDL,OPS,ANG OPS,138.55
KBDL,RDO,BRIDGEPORT RDO,122.3
KBDL,TWR,TWR,120.3
KBDL,UNIC,UNICOM,122.95
KBDQ,A/D,MEMPHIS CNTR,128.475
KBDQ,UNIC,CTAF/UNICOM,122.8
KBDR,A/D,NEW YORK APP/DEP,124.075
KBDR,ATIS,ATIS,119.15
KBDR,CLD,CLNC DEL,121.75
KBDR,CTAF,CTAF,120.9
KBDR,GND,GND,121.9
KBDR,RDO,BRIDGEPORT RDO,108.8
KBDR,TWR,BRIDGEPORT TWR,120.9
KBDR,UNIC,UNICOM,123
KBDU,CTAF/UNICOM:,Boulder traffic,122.725
KBEA,CNTR,HOUSTON CNTR,134.6
KBEA,UNIC,CTAF/UNICOM,122.8
KBEC,A/D,WICHITA APP/DEP,134.8
KBEC,CLD,WICHITA CLNC DEL,125
KBEC,CTAF,CTAF,122.7
KBEC,GND,GND,121.7
KBEC,TWR,TWR,126.8
KBEC,UNIC,UNICOM,122.95
KBED,A/D,BOSTON APP/DEP,124.4
KBED,ATIS,ATIS,124.6
KBED,CLD,CLNC DEL,121.85
KBED,CTAF,CTAF,118.5
KBED,GND,HANSCOM GND,121.7
KBED,MISC,HANSCOM COMD POST,39.71
KBED,TWR,HANSCOM TWR,118.5
KBED,UNIC,UNICOM,122.95
KBEH,A/D,SOUTH BEND APP/DEP,118.55
KBEH,ASOS,ASOS,121.55
KBEH,CLD,SOUTH BEND CLNC DEL,119.7
KBEH,RDO,LANSING RDO,116.6
KBEH,UNIC,CTAF/UNICOM,123
KBFA,CNTR,MINNEAPOLIS CNTR,134.6
KBFA,UNIC,CTAF/UNICOM,122.8
KBFD,ASOS,ASOS,133.825
KBFD,CNTR,CLEVELAND CNTR,124.325
KBFD,RDO,ALTOONA RDO,122.2
KBFD,UNIC,CTAF/UNICOM,123.075
KBFE,A/D,LUBBOCK APP/DEP,119.9
KBFE,UNIC,CTAF/UNICOM,122.8
KBFF,ASOS,ASOS,121.025
KBFF,CNTR,DENVER CNTR,127.95
KBFF,RDO,COLUMBUS RDO,122.6
KBFF,UNIC,CTAF/UNICOM,123
KBFI,A/D,SEATTLE APP/DEP,119.2
KBFI,ATIS,ATIS,127.75
KBFI,CLD,CLNC DEL,132.4
KBFI,GND,GND,121.9
KBFI,RDO,SEATTLE RDO,122.5
KBFI,TWR,BOEING TOWER (Rwy  14L/32R),118.3
KBFI,TWR,BOEING TOWER (Rwy 14R/32L  & All IFR),120.6
KBFI,UNIC,UNICOM,122.95
KBFK,CNTR,KANSAS CITY CNTR,126.95
KBFK,CTAF,CTAF,122.9
KBFL,APP,BAKERSFIELD APP SOUTH INITIAL CONTACT,118.8
KBFL,APP,BAKERSFIELD APP NORTH INITIAL CONTACT,118.9
KBFL,ATIS,ATIS,118.6
KBFL,CTAF,CTAF,118.1
KBFL,CTR,LOS ANGELES CENTER,127.1
KBFL,DEP,BAKERSFIELD DEP,126.45
KBFL,GND,GND,121.7
KBFL,RDO,RANCHO RDO,122.45
KBFL,TWR,BAKERSFIELD TWR,118.1
KBFL,UNIC,UNICOM,122.95
KBFM,A/D,APP/DEP,118.5
KBFM,ATIS,ATIS,135.575
KBFM,CTAF,CTAF,118.8
KBFM,GND,GND,121.7
KBFM,RDO,ANNISTON RDO,112.8
KBFM,TWR,DOWNTOWN TWR,118.8
KBFM,UNIC,UNICOM,122.95
KBFR,AWOS,AWOS 3,119.125
KBFR,CNTR,INDIANAPOLIS CNTR,124.775
KBFR,RDO,TERRE HAUTE RDO,110.2
KBFR,UNIC,CTAF/UNICOM,122.8
KBGD,A/D,AMARILLO APP/DEP,119.5
KBGD,ASOS,ASOS,118.325
KBGD,UNIC,CTAF/UNICOM,123
KBGE,A/D,TALLAHASSEE APP/DEP,128.7
KBGE,AWOS,AWOS 3,121.125
KBGE,UNIC,CTAF/UNICOM,122.975
KBGF,AWOS,AWOS 3,121.675
KBGF,CNTR,MEMPHIS CNTR,126.75
KBGF,UNIC,CTAF/UNICOM,122.8
KBGM,A/D,APP/DEP,118.6
KBGM,ATIS,ATIS,128.15
KBGM,CLD,CLNC DEL,125.05
KBGM,CTAF,CTAF,119.3
KBGM,GND,GND,121.9
KBGM,RDO,BUFFALO RDO,112.2
KBGM,TWR,TWR,119.3
KBGM,UNIC,UNICOM,122.95
KBGR,A/D,APP/DEP,118.925
KBGR,ASOS,ASOS,127.75
KBGR,ATIS,ATIS,127.75
KBGR,CLD,CLNC DEL,135.9
KBGR,GND,GND,121.9
KBGR,MISC,ARNG OPS,41.2
KBGR,OPS,ANG OPS,31.1
KBGR,RDO,RDO,122.2
KBGR,TWR,TWR,120.7
KBGR,UNIC,UNICOM,122.95
KBHB,A/D,BANGOR APP/DEP,124.5
KBHB,AWOS,AWOS 3,118.025
KBHB,CLD,CLNC DEL,119.9
KBHB,UNIC,CTAF/UNICOM,123
KBHC,AWOS,AWOS A,37.6
KBHC,CNTR,JAX CNTR,132.3
KBHC,UNIC,CTAF/UNICOM,122.8
KBHK,ASOS,ASOS,135.475
KBHK,CNTR,SALT LAKE CITY CNTR,126.85
KBHK,CTAF,CTAF,122.9
KBHM,A/D,APP/DEP,123.8
KBHM,ATIS,ATIS,119.4
KBHM,CLD,CLNC DEL,125.675
KBHM,GND,GND,121.7
KBHM,OPS,ARNG OPS,38.7
KBHM,POST,ANG COMD POST,28.73
KBHM,RDO,ANNISTON RDO,122.2
KBHM,TWR,TWR,119.9
KBHM,UNIC,UNICOM,122.95
KBIE,AWOS,AWOS 3,110.6
KBIE,CNTR,MINNEAPOLIS CNTR,126.4
KBIE,RDO,COLUMBUS RDO,122.5
KBIE,UNIC,CTAF/UNICOM,122.8
KBIF,APP,EL PASO APP,119.15
KBIF,CLD,EL PASO CLNC DEL,125
KBIF,DEP,EL PASO DEP,121.3
KBIF,GND,GND,121.6
KBIF,OPS,ANG OPS,49.95
KBIF,PTD,PTD,122.7
KBIF,TWR,TWR,127.9
KBIH,A/D,OAKLAND CNTR,125.75
KBIH,ASOS,ASOS,119.025
KBIH,RDO,RIVERSIDE RDO,122.6
KBIH,UNIC,CTAF/UNICOM,123
KBIJ,A/D,CAIRNS APP/DEP,125.4
KBIJ,AWOS,AWOS 3,118.475
KBIJ,CTAF,CTAF,122.9
KBIJ,GCO,MACON FSS,121.725
KBIL,A/D,APP/DEP,119.2
KBIL,ATIS,ATIS,126.3
KBIL,CLD,CLNC DEL,121.9
KBIL,GND,GND,121.9
KBIL,RDO,GREAT FALLS RDO,122.55
KBIL,TWR,TWR,124.2
KBIL,UNIC,UNICOM,122.95
KBIS,A/D,APP/DEP,126.3
KBIS,ATIS,ATIS,119.35
KBIS,CTAF,CTAF,118.3
KBIS,GND,GND,121.9
KBIS,OPS,ARNG OPS,49.8
KBIS,RDO,GRAND FORKS RDO,122.2
KBIS,TWR,TWR,118.3
KBIS,UNIC,UNICOM,122.95
KBIV,A/D,MUSKEGON APP/DEP,119.8
KBIV,ASOS,ASOS,119.025
KBIV,CLD,MUSKEGON CLNC DEL,123.95
KBIV,RDO,LANSING RDO,112.1
KBIV,UNIC,CTAF/UNICOM,123.05
KBIX,A/D,GULFPORT APP/DEP,124.6
KBIX,ATIS,ATIS,25.6
KBIX,CLD,CLNC DEL,121.8
KBIX,GND,GND,121.8
KBIX,MISC,AEROMEDICAL EVAC,23.66
KBIX,PMSV,PMSV METRO,34.46
KBIX,POST,403 WG AFRC COMD,25.28
KBIX,PTD,PTD,37.22
KBIX,TWR,TWR,120.75
KBJC,A/D,DENVER APP/DEP,126.1
KBJC,ATIS,ATIS,126.25
KBJC,CTAF,CTAF,118.6
KBJC,GND,GND,121.7
KBJC,TWR,TWR,118.6
KBJI,AWOS,AWOS 3,119.275
KBJI,CNTR,MINNEAPOLIS CNTR,134.75
KBJI,RDO,PRINCETON RDO,123.6
KBJI,UNIC,CTAF/UNICOM,122.8
KBJJ,A/D,AKRON CANTON APP/DEP,118.6
KBJJ,ASOS,ASOS,118.075
KBJJ,CLD,CLNC DEL,121.75
KBJJ,UNIC,CTAF/UNICOM,122.8
KBKD,CNTR,FORT WORTH CNTR,127
KBKD,RDO,FORT WORTH RDO,122.5
KBKD,UNIC,CTAF/UNICOM,122.8
KBKE,ASOS,ASOS,134.275
KBKE,CNTR,SALT LAKE CITY CNTR,128.05
KBKE,UNIC,CTAF/UNICOM,123
KBKF,A/D,DENVER APP/DEP,128.45
KBKF,ATIS,ATIS,119.675
KBKF,GND,GND/CLNC DEL,121.6
KBKF,PMSV,PMSV METRO,22.845
KBKF,PTD,PTD,37.22
KBKF,TWR,TWR,121
KBKL,A/D,CLEVELAND APP/DEP,125.35
KBKL,ASOS,ASOS,125.25
KBKL,ATIS,ATIS,125.25
KBKL,CTAF,CTAF,124.3
KBKL,GND,GND,121.9
KBKL,TWR,LAKEFRONT TWR,124.3
KBKL,UNIC,UNICOM,122.95
KBKN,CNTR,KANSAS CITY CNTR,127.8
KBKN,CTAF,CTAF,122.8
KBKS,APP,KINGSVILLE APP,119.9
KBKS,AWOS,AWOS 3,118.125
KBKS,DEP,KINGSVILLE DEP,119.9
KBKS,UNIC,CTAF/UNICOM,122.8
KBKT,CNTR,WASHINGTON CNTR,118.75
KBKT,OPS,RANGE OPS,38.3
KBKT,TWR,TWR,38.3
KBKT,UNIC,CTAF/UNICOM,122.95
KBKV,A/D,TAMPA APP/DEP,125.3
KBKV,ASOS,ASOS,134.725
KBKV,CLD,TAMPA CLNC DEL,119.125
KBKV,OPS,ARNG OPS,40.9
KBKV,RDO,ST PETERSBURG RDO,122.3
KBKV,UNIC,CTAF/UNICOM,123
