icao,municipality,country,name,lat,lon
AYPY,Port Moresby,PG,Port Moresby Jacksons International Airport,-9.44338,147.22000
AYQA,Amboin,PG,Karawari Airstrip,-4.59667,143.52250
AYQB,Simbari,PG,Simbari Airstrip,-6.96230,145.64480
AYQL,Tumolbil,PG,Tumolbil Airport,-4.77480,141.01330
AYQM,Simogu,PG,Simogu Airstrip,-6.80080,145.71340
AYQO,Sopu,PG,Sopu Airport,-8.30380,147.16590
AYQQ,Onange Mission,PG,Ononge Airport,-8.67436,147.26242
AYQR,Sorimi,PG,Sorimi Airstrip,-4.32391,141.37563
AYQS,Sialum,PG,Sialum Airport,-6.09080,147.59550
AYQU,Tsumba Mission,PG,Tsumba Airstrip,-4.65810,144.60820
AYQV,Sinow,PG,Sinow Airstrip,-3.99250,141.55370
AYQW,Sumwari,PG,Sumwari Airstrip,-4.75080,142.36860
AYRA,Kira,PG,Kira Airport,-8.06511,147.33203
AYRD,Maingi,PG,Rano Airstrip,-5.95944,151.17170
AYRE,Rabaraba,PG,Raba Raba Airport,-9.97111,149.83222
AYRG,,PG,Rumginae Airport,-5.89722,141.27167
AYRI,Karimui,PG,Karimui Airport,-6.49210,144.82300
AYRJ,Mariama,PG,Mariama,-4.61239,143.24703
AYRK,Yule Island,PG,Kairuku Airport,-8.81700,146.52438
AYRL,Maralina,PG,Maralina Airstrip,-6.90150,146.36980
AYRM,Maramuni,PG,Maramuni Airport,-5.13000,143.48290
AYRN,Norambi,PG,Norambi Airstrip.,-6.91250,145.67310
AYRO,Kakoro,PG,Kakoro(Koroko) Airstrip,-7.83467,146.53350
AYRR,Tiri,PG,Tiri Airstrip,-6.68150,144.18420
AYRT,Kirinbit,PG,Kirinbit Airstrip,-4.28390,143.15120
AYRV,May River,PG,May River Airstrip,-4.36150,141.78500
AYRX,Mount Boregoro,PG,Mount Boregoro Helicopter Landing  Site,-9.89440,148.10690
AYSA,,PG,Suabi Airport,-6.10444,142.27833
AYSB,Sirebi,PG,Sirebi Airstrip,-7.21960,144.23520
AYSD,Saidor,PG,Saidor Airport,-5.62714,146.46278
AYSE,Simberi Island,PG,Simberi Airport,-2.66222,151.99778
AYSF,Safia,PG,Safia Airport,-9.59447,148.63931
AYSG,Sila Mission,PG,Sila Airport,-9.07356,148.38925
AYSH,Sabah,PG,Sabah Airport,-5.57650,155.04890
AYSI,Seltamin,PG,Seltamin Airstrip,-5.41220,141.82520
AYSJ,Simbai,PG,Simbai Airport,-5.27861,144.54472
AYSK,Sengapi,PG,Sengapi Airstrip,-5.12583,144.32361
AYSL,Sehulea,PG,Sehulea Airport,-9.96453,151.16186
AYSM,Samberigi Mission,PG,Samberigi Airstrip,-6.71930,143.93380
AYSO,Selbang,PG,Selbang Airport,-5.31500,141.75200
AYSP,Sapmanga,PG,Sapmanga Airport,-6.07528,146.81111
AYSQ,Sepik Plains,PG,Sepik Plains Airport,-3.88210,143.67340
AYSR,Sangera,PG,Sangera Airstrip,-3.96780,143.27630
AYSS,Sasereme,PG,Sasereme Airport,-7.62170,142.86800
AYST,,PG,Sturt Island Airport,-8.15250,142.26844
AYSU,Suki,PG,Suki Airport,-8.04660,141.72220
AYSV,Sauren,PG,Sauren Airport,-5.97010,148.85430
AYSW,Satwag,PG,Satwag Airport,-6.13956,147.27917
AYSX,Masa,PG,Masa Airport,-6.34500,147.59100
AYSY,Serai,PG,Serra Airstrip,-2.97390,141.92970
AYSZ,Samanzing,PG,Samanzing Airstrip,-6.45130,147.06730
AYTA,Tari,PG,Tari Airport,-5.84500,142.94800
AYTB,Tabubil,PG,Tabubil Airport,-5.28047,141.22758
AYTC,Mutam,PG,Tapila Airstrip,-8.41880,142.90430
AYTD,Tetehui,PG,Teredau Airport,-7.32050,144.63840
AYTE,Telefomin,PG,Telefomin Airport,-5.12608,141.64192
AYTF,Tetebedi,PG,Tetebedi Airport,-9.15860,148.06860
AYTG,Sudest Island,PG,Tagula Airport,-11.33111,153.20292
AYTH,Tifalmin,PG,Tifalmin Airport,-5.11725,141.41808
AYTI,Tapini,PG,Tapini Airport,-8.35667,146.98917
AYTK,Kokopo,PG,Tokua Airport,-4.34046,152.38001
AYTL,Talbakul,PG,Talbakul Airstrip,-6.37080,144.71670
AYTM,Tamo,PG,Tamo Airstrip,-4.72460,144.15290
AYTN,Tekin,PG,Tekin Airport,-5.24367,142.16519
AYTO,Kamberatoro Mission,PG,Kamberatoro Airport,-3.60056,141.05167
AYTP,Teptep,PG,Tep Tep Airport,-5.95530,146.55950
AYTQ,Tapen,PG,Tapen Airstrip,-5.85591,146.63841
AYTR,Tarabo,PG,Tarabo Airport,-6.46667,145.53222
AYTS,Tsewi,PG,Tsewi Airport,-7.06950,146.12720
AYTT,Tarakbits,PG,Tarakbits Airport,-5.61400,141.04210
AYTU,Tufi,PG,Tufi Airport,-9.07595,149.31984
AYTV,Timbunke,PG,Timbunke Airport,-4.19663,143.51922
AYTW,Tawa,PG,Tawa Airport,-7.44630,146.10670
AYTX,Matak,PG,Matak Airstrip,-6.17454,146.39234
AYTY,Terapo Mission,PG,Terapo Airport,-8.16972,146.19444
AYTZ,Tekadu,PG,Tekadu Airport,-7.68080,146.55030
AYUA,Utai,PG,Utai Airstrip,-3.38600,141.58680
AYUC,Umba,PG,Umba Airport,-7.02140,145.96600
AYUD,,PG,Kais-Udave Helicopter landing site,-8.78190,147.27850
AYUE,Uroubi,PG,Uroubi Airport,-9.51620,148.55910
AYUG,Wa'ahun,PG,Brugam Airstrip,-3.63810,142.83790
AYUI,Buin,PG,Buin Airport,-6.72917,155.68333
AYUJ,Mukvi,PG,Mukvi Airstrip,-8.25664,141.76513
AYUK,Mukili,PG,Mukili Airstrip,-3.68560,142.36453
AYUL,Musula,PG,Musula Airstrip,-6.83850,142.89830
AYUM,Aumo,PG,Aumo Airport,-5.73111,148.44528
AYUN,Bunam,PG,Bunam Airstrip,-4.65640,144.25170
AYUO,Omaura,PG,Omaura Airstrip,-6.36790,145.99020
AYUP,Gulgubip,PG,Gulgubip Airport,-5.28080,141.54110
AYUQ,Kumbwareta,PG,Kumbwareta Airstrip,-5.50780,144.11710
AYUR,Upiara,PG,Upiara Airport,-8.54110,142.65030
AYUS,Suame,PG,Suame Airstrip,-8.36840,142.58620
